peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"instance-1","instance-1","instance-1","dmc_group_indexer",,,,,
localhost,"instance-1","instance-1","instance-1","dmc_group_kv_store",,,,,
localhost,"instance-1","instance-1","instance-1","dmc_group_license_master",,,,,
localhost,"instance-1","instance-1","instance-1","dmc_group_search_head",,,,,
